date,open,close,volume
2005/1/4,836.988,827.071,403169700
2005/1/5,825.707,831.428,302086300
2005/1/6,831.989,822.499,275357400
2005/1/7,822.669,823.616,306608600
2005/1/10,823.766,832.986,247941100
2005/1/11,833.209,837.861,245009800
2005/1/12,837.357,837.244,163275100
2005/1/13,836.17,834.221,209669400
2005/1/14,834.354,829.042,362708700
2005/1/17,821.189,811.554,325221700
2005/1/18,811.316,817.309,371926500
2005/1/19,816.644,810.989,329754700
2005/1/20,807.395,805.081,364939500
2005/1/21,803.091,831.847,740780600
2005/1/24,847.07,842.414,648612400
2005/1/25,839.715,841.64,411928100
2005/1/26,840.821,834.669,301807700
2005/1/27,831.832,821.705,302954000
2005/1/28,819.656,820.689,233991800
2005/1/31,817.93,813.753,258840800
2005/2/1,812.563,817.872,273230300
2005/2/2,819.245,860.504,777403300
2005/2/3,856.77,848.486,712029000
2005/2/4,847.617,872.884,733155500
2005/2/16,877.97,875.46,505684400
2005/2/17,876.636,870.085,363484800
2005/2/18,869.398,856.212,352132300
2005/2/21,856.954,874.021,432910000
2005/2/22,874.946,887.07,667449000
2005/2/23,886.668,877.914,745959300
2005/2/24,875.726,877.345,547588900
2005/2/25,878.216,878.503,654335800
2005/2/28,878.553,868.886,484748700
2005/3/1,868.367,866.258,317994800
2005/3/2,866.078,855.879,595192200
2005/3/3,854.789,861.688,333921400
2005/3/4,862.112,859.489,298302300
2005/3/7,859.659,863.704,279701300
2005/3/8,867.834,876.344,525746400
2005/3/9,878.358,869.403,697399300
2005/3/10,869.024,851.531,559164300
2005/3/11,850.907,853.898,466169500
2005/3/14,853.355,857.614,553753400
2005/3/15,857.337,840.955,466762400
2005/3/16,839.601,832.823,390439600
2005/3/17,833.711,826.683,348309600
2005/3/18,826.057,821.028,340296700
2005/3/21,820.421,823.129,271083200
2005/3/22,822.609,808.104,421296500
2005/3/23,806.404,801.981,403377700
2005/3/24,800.805,808.18,368011400
2005/3/25,807.654,806.425,274121100
2005/3/28,805.41,805.556,219963600
2005/3/29,805.477,802.739,279148800
2005/3/30,800.961,790.58,338953000
2005/3/31,788.006,795.667,329989200
2005/4/1,794.95,822.91,720138300
2005/4/4,814.585,808.591,458191000
2005/4/5,806.509,801.885,402217600
2005/4/6,800.891,816.879,541760000
2005/4/7,819.034,824.609,819426600
2005/4/8,824.321,838.056,485474000
2005/4/11,838.29,830.908,549510500
2005/4/12,828.413,818.467,321368800
2005/4/13,826.907,835.628,573497400
2005/4/14,840.241,826.005,463111100
2005/4/15,822.127,817.094,365698200
2005/4/18,814.551,806.389,361839500
2005/4/19,805.523,809.361,360909200
2005/4/20,808.621,798.517,291189400
2005/4/21,796.117,793.445,372009400
2005/4/22,792.201,794.819,372183300
2005/4/25,792.944,790.749,402640700
2005/4/26,789.887,792.303,381002500
2005/4/27,790.471,782.432,412660400
2005/4/28,779.699,793.878,535077500
2005/4/29,793.452,789.732,410954500
2005/5/9,790.825,775.321,303214000
2005/5/10,772.609,779.099,422389300
2005/5/11,778.275,771.586,310529900
2005/5/12,770.818,753.875,428574900
2005/5/13,752.323,757.304,481831000
2005/5/16,754.779,747.871,326200500
2005/5/17,745.846,750.711,315759600
2005/5/18,751.56,752.662,294306400
2005/5/19,752.981,754.785,347507500
2005/5/20,754.165,753.071,295633100
2005/5/23,749.827,737.741,260215000
2005/5/24,734.533,737.35,387022600
2005/5/25,737.121,737.538,250711500
2005/5/26,737.098,728.697,235486700
2005/5/27,726.94,724.522,333722700
2005/5/30,723.104,729.067,250843900
2005/5/31,729.887,730.997,292055900
2005/6/1,730.121,719.025,299951200
2005/6/2,716.797,701.373,425631000
2005/6/3,699.419,700.434,334160700
2005/6/6,699.266,717.213,356022100
2005/6/7,718.397,713.62,467138400
