date,open,close,volume
2005/1/4,996.682,986.927,232376203
2005/1/5,986.57,1003.633,348610113
2005/1/6,1003.49,994.595,293390559
2005/1/7,993.434,997.606,339162698
2005/1/10,996.928,1006.337,294940533
2005/1/11,1006.211,1008.343,313611521
2005/1/12,1008.01,1008.62,319639380
2005/1/13,1008.098,1013.07,471573361
2005/1/14,1012.699,1000.169,401693734
2005/1/17,990.987,977.522,435860320
2005/1/18,977.603,991.419,451613258
2005/1/19,991.291,986.241,425524931
2005/1/20,983.198,972.463,465204848
2005/1/21,971.501,988.519,618525583
2005/1/24,1009.947,1008.175,732335514
2005/1/25,1006,999.553,469480344
2005/1/26,997.638,987.955,411390082
2005/1/27,986.146,971.373,412321375
2005/1/28,971.373,952.413,407237328
2005/1/31,948.439,922.653,409509905
2005/2/1,919.8,913.331,419974568
2005/2/2,913.025,964.243,655356622
2005/2/3,963.746,945.312,637130084
2005/2/4,944.447,962.028,519301391
2005/2/16,967.432,972.337,469332268
2005/2/17,971.838,977.272,403195849
2005/2/18,977.12,964.769,411281145
2005/2/21,965.001,981.819,476520314
2005/2/22,982.418,1007.688,957578905
2005/2/23,1008.293,1019.258,1020182334
2005/2/24,1018.292,1024.446,868323283
2005/2/25,1024.569,1024.118,965076125
2005/2/28,1023.191,1020.847,702805156
2005/3/1,1020.595,1021.162,667563690
2005/3/2,1021.357,1006.148,745797116
2005/3/3,1004.1,1011.288,537249418
2005/3/4,1011.2,1003.21,452518936
2005/3/7,1004.341,1006.953,447514053
2005/3/8,1007.684,1029.457,718700799
2005/3/9,1031.602,1032.55,825782273
2005/3/10,1032.274,1005.545,710602049
2005/3/11,1003.781,1009.434,595531053
2005/3/14,1009.177,1007.766,755050325
2005/3/15,1007.892,993.831,649956805
2005/3/16,992.642,983.916,531196451
2005/3/17,983.105,970.966,531330742
2005/3/18,969.118,949.509,539391703
2005/3/21,947.571,949.553,419219010
2005/3/22,948.784,922.564,579501326
2005/3/23,921.069,923.194,529028344
2005/3/24,922.181,933.347,431920133
2005/3/25,933.173,931.417,418984460
2005/3/28,930.168,922.923,401957019
2005/3/29,922.659,916.811,369856709
2005/3/30,915.088,888.949,468949559
2005/3/31,887.07,896.068,412561375
2005/4/1,895.227,927.546,692179347
2005/4/4,919.139,909.87,533383808
2005/4/5,908.185,901.744,457250275
2005/4/6,901.744,918.557,680502776
2005/4/7,919.235,932.333,954023521
2005/4/8,931.774,949.457,799738066
2005/4/11,949.847,948.509,868824248
2005/4/12,947.115,927.41,603996652
2005/4/13,932.311,950.229,814108633
2005/4/14,952.538,935.425,698368786
2005/4/15,931.666,913.271,666159696
2005/4/18,910.889,901.118,500326908
2005/4/19,899.934,902.785,479860298
2005/4/20,902.22,884.083,532165039
2005/4/21,881.676,867.328,625034912
2005/4/22,865.817,857.401,622488482
2005/4/25,846.142,841.058,581986195
2005/4/26,839.248,855.24,619995510
2005/4/27,857.951,839.953,594365492
2005/4/28,837.384,860.616,764311242
2005/4/29,860.393,847.611,601368538
2005/5/9,848.088,818.399,420610047
2005/5/10,814.765,818.088,494693584
2005/5/11,816.817,811.57,463757906
2005/5/12,810.16,807.51,459710546
2005/5/13,806.728,814.878,519752845
2005/5/16,814.055,808.171,453750251
2005/5/17,806.808,818.455,495508190
2005/5/18,818.12,824.643,455807702
2005/5/19,824.826,824.94,477627612
2005/5/20,824.574,819.13,432752210
2005/5/23,816.195,793.724,431271537
2005/5/24,791.129,808.743,469529223
2005/5/25,808.521,809.697,529453761
2005/5/26,808.661,799.024,483878743
2005/5/27,797.183,790.998,416763164
2005/5/30,788.637,797.532,384870800
2005/5/31,798.334,796.872,429973699
2005/6/1,795.817,778.673,464872701
2005/6/2,777.469,769.421,495063844
2005/6/3,767.67,765.967,458631503
2005/6/6,764.656,778.21,476354250
2005/6/7,779.723,779.844,708730037
2005/6/8,782.007,841.36,1497354405
2005/6/9,840.233,849.725,1531145199
2005/6/10,850.024,831.605,1003594822
2005/6/13,830.796,834.252,689483897
2005/6/14,835.353,818.191,740158653
2005/6/15,815.731,796.26,588453212
2005/6/16,795.755,803.945,551448200
2005/6/17,805.753,800.137,547849935
2005/6/20,799.467,823.733,796647678
2005/6/21,823.538,816.197,638511320
2005/6/22,814.912,818.647,499273725
2005/6/23,818.189,809.347,524665869
2005/6/24,807.678,813.203,427675509
