,000016.SH,000016.SH,000016.SH,000300.SH,000300.SH,000300.SH,000905.SH,000905.SH,000905.SH,000852.SH,000852.SH,000852.SH
,open,close,volume,open,close,volume,open,close,volume,open,close,volume
date,,,,,,,,,,,,
2005/3/17,833.711,826.683,348309600,1001.968,992.863,996901108,983.105,970.966,531330742,980.918,967.593,112753400
2005/3/18,826.057,821.028,340296700,991.887,978.665,965205964,969.118,949.509,539391703,965.175,946.705,121774192
2005/3/21,820.421,823.129,271083200,977.296,981.893,725256485,947.571,949.553,419219010,945.762,950.792,88384941
2005/3/22,822.609,808.104,421296500,981.707,964.024,1137571722,948.784,922.564,579501326,950.797,915.939,119644283
2005/3/23,806.404,801.981,403377700,962.816,959.01,1093005354,921.069,923.194,529028344,915.037,915.974,118410723
2005/3/24,800.805,808.18,368011400,957.43,964.801,926071493,922.181,933.347,431920133,914.468,928.54,104609777
2005/3/25,807.654,806.425,274121100,964.245,962.955,710732285,933.173,931.417,418984460,928.734,923.196,105505666
2005/3/28,805.41,805.556,219963600,961.652,960.696,666924600,930.168,922.923,401957019,921.887,911.354,96109042
2005/3/29,805.477,802.739,279148800,960.419,955.19,757737892,922.659,916.811,369856709,910.674,904.823,88691379
2005/3/30,800.961,790.58,338953000,952.713,937.034,895016409,915.088,888.949,468949559,902.009,869.583,108493250
2005/3/31,788.006,795.667,329989200,934.848,942.203,785944597,887.07,896.068,412561375,868.266,880.901,92570595
2005/4/1,794.95,822.91,720138300,941.431,978.145,1634750474,895.227,927.546,692179347,880.26,913.851,167043832
2005/4/4,814.585,808.591,458191000,968.49,962.168,1143509329,919.139,909.87,533383808,904.544,896.287,128954253
2005/4/5,806.509,801.885,402217600,960.54,955.598,953453690,908.185,901.744,457250275,894.29,886.196,106239466
2005/4/6,800.891,816.879,541760000,955.598,973.668,1428242115,901.744,918.557,680502776,886.196,898.875,129891875
2005/4/7,819.034,824.609,819426600,975.97,984.733,2075421198,919.235,932.333,954023521,898.602,913.657,197375064
2005/4/8,824.321,838.056,485474000,984.665,1003.445,1476252600,931.774,949.457,799738066,913.339,931.379,167692387
2005/4/11,838.29,830.908,549510500,1003.879,995.421,1593606600,949.847,948.509,868824248,930.516,931.969,167275810
2005/4/12,828.413,818.467,321368800,993.711,978.697,1022619300,947.115,927.41,603996652,930.972,905.866,127659447
2005/4/13,826.907,835.628,573497400,987.95,1000.9,1607168700,932.311,950.229,814108633,908.757,929.111,154753600
2005/4/14,840.241,826.005,463111100,1004.64,986.975,1294571000,952.538,935.425,698368786,931.785,916.35,169926094
2005/4/15,822.127,817.094,365698200,982.613,974.082,1040895500,931.666,913.271,666159696,912.675,887.932,176085858
2005/4/18,814.551,806.389,361839500,970.907,963.772,859840000,910.889,901.118,500326908,882.408,868.325,108473729
2005/4/19,805.523,809.361,360909200,962.916,965.886,921262300,899.934,902.785,479860298,867.351,867.228,96206904
2005/4/20,808.621,798.517,291189400,964.151,950.867,885070500,902.22,884.083,532165039,866.654,844.932,123749137
2005/4/21,796.117,793.445,372009400,948.861,943.981,994614500,881.676,867.328,625034912,843.569,826.053,142526904
2005/4/22,792.201,794.819,372183300,942.908,939.101,1069188400,865.817,857.401,622488482,823.621,806.645,144884548
2005/4/25,792.944,790.749,402640700,935.993,930.07,1147047800,846.142,841.058,581986195,792.106,789.538,128351021
